Year,Entity.x,Code.x,Share.surviving.first.5.years.of.life....,dying,country,Code.y,cmr
1940,World,OWID_WRL,76.1,23.9,Australia,AUS,5.04807184
1960,World,OWID_WRL,81.5,18.5,Pakistan,PAK,26.19
1960,World,OWID_WRL,81.5,18.5,India,IND,24.77
1960,World,OWID_WRL,81.5,18.5,Sri Lanka,LKA,10.11
1960,World,OWID_WRL,81.5,18.5,Bangladesh,BGD,26.43
1960,World,OWID_WRL,81.5,18.5,Russia,RUS,5.57888544
1960,World,OWID_WRL,81.5,18.5,Australia,AUS,2.49
1960,World,OWID_WRL,81.5,18.5,Afghanistan,AFG,35.95
1961,World,OWID_WRL,81.96,18.04,Russia,RUS,4.950480648
1961,World,OWID_WRL,81.96,18.04,Bangladesh,BGD,25.75
1961,World,OWID_WRL,81.96,18.04,Australia,AUS,2.43
1961,World,OWID_WRL,81.96,18.04,India,IND,24.37
1961,World,OWID_WRL,81.96,18.04,Sri Lanka,LKA,9.66
1961,World,OWID_WRL,81.96,18.04,Pakistan,PAK,25.16
1961,World,OWID_WRL,81.96,18.04,Afghanistan,AFG,35.39
1962,World,OWID_WRL,82.29,17.71,Bangladesh,BGD,25.13
1962,World,OWID_WRL,82.29,17.71,Australia,AUS,2.37
1962,World,OWID_WRL,82.29,17.71,Russia,RUS,4.78278708
1962,World,OWID_WRL,82.29,17.71,Pakistan,PAK,24.19
1962,World,OWID_WRL,82.29,17.71,Sri Lanka,LKA,9.23
1962,World,OWID_WRL,82.29,17.71,India,IND,24
1962,World,OWID_WRL,82.29,17.71,Afghanistan,AFG,34.86
1963,World,OWID_WRL,82.59,17.41,Pakistan,PAK,23.27
1963,World,OWID_WRL,82.59,17.41,Bangladesh,BGD,24.56
1963,World,OWID_WRL,82.59,17.41,Sri Lanka,LKA,8.84
1963,World,OWID_WRL,82.59,17.41,Australia,AUS,2.32
1963,World,OWID_WRL,82.59,17.41,Russia,RUS,4.540447128
1963,World,OWID_WRL,82.59,17.41,Afghanistan,AFG,34.39
1963,World,OWID_WRL,82.59,17.41,India,IND,23.63
1964,World,OWID_WRL,82.48,17.52,Afghanistan,AFG,33.87
1964,World,OWID_WRL,82.48,17.52,Bangladesh,BGD,24.04
1964,World,OWID_WRL,82.48,17.52,Pakistan,PAK,22.43
1964,World,OWID_WRL,82.48,17.52,India,IND,23.29
1964,World,OWID_WRL,82.48,17.52,Sri Lanka,LKA,8.49
1964,World,OWID_WRL,82.48,17.52,Russia,RUS,4.1344896
1964,World,OWID_WRL,82.48,17.52,Australia,AUS,2.27
1965,World,OWID_WRL,82.72,17.28,India,IND,22.96
1965,World,OWID_WRL,82.72,17.28,Russia,RUS,3.892670064
1965,World,OWID_WRL,82.72,17.28,Pakistan,PAK,21.67
1965,World,OWID_WRL,82.72,17.28,Afghanistan,AFG,33.35
1965,World,OWID_WRL,82.72,17.28,Bangladesh,BGD,23.6
1965,World,OWID_WRL,82.72,17.28,Australia,AUS,2.24
1965,World,OWID_WRL,82.72,17.28,Sri Lanka,LKA,8.18
1966,World,OWID_WRL,82.88,17.12,India,IND,22.63
1966,World,OWID_WRL,82.88,17.12,Bangladesh,BGD,23.23
1966,World,OWID_WRL,82.88,17.12,Russia,RUS,3.7423473
1966,World,OWID_WRL,82.88,17.12,Pakistan,PAK,20.98
1966,World,OWID_WRL,82.88,17.12,Australia,AUS,2.21
1966,World,OWID_WRL,82.88,17.12,Afghanistan,AFG,32.86
1966,World,OWID_WRL,82.88,17.12,Sri Lanka,LKA,7.89
1967,World,OWID_WRL,83.11,16.89,Bangladesh,BGD,22.94
1967,World,OWID_WRL,83.11,16.89,India,IND,22.31
1967,World,OWID_WRL,83.11,16.89,Australia,AUS,2.2
1967,World,OWID_WRL,83.11,16.89,Russia,RUS,3.69797112
1967,World,OWID_WRL,83.11,16.89,Pakistan,PAK,20.38
1967,World,OWID_WRL,83.11,16.89,Afghanistan,AFG,32.37
1967,World,OWID_WRL,83.11,16.89,Sri Lanka,LKA,7.65
1968,World,OWID_WRL,83.63,16.37,Australia,AUS,2.19
1968,World,OWID_WRL,83.63,16.37,Afghanistan,AFG,31.87
1968,World,OWID_WRL,83.63,16.37,Bangladesh,BGD,22.71
1968,World,OWID_WRL,83.63,16.37,Russia,RUS,3.708009768
1968,World,OWID_WRL,83.63,16.37,Sri Lanka,LKA,7.44
1968,World,OWID_WRL,83.63,16.37,India,IND,21.98
1968,World,OWID_WRL,83.63,16.37,Pakistan,PAK,19.83
1969,World,OWID_WRL,85.02,14.98,Australia,AUS,2.17
1969,World,OWID_WRL,85.02,14.98,Afghanistan,AFG,31.37
1969,World,OWID_WRL,85.02,14.98,India,IND,21.66
1969,World,OWID_WRL,85.02,14.98,Sri Lanka,LKA,7.26
1969,World,OWID_WRL,85.02,14.98,Pakistan,PAK,19.33
1969,World,OWID_WRL,85.02,14.98,China,CHN,11.91
1969,World,OWID_WRL,85.02,14.98,Russia,RUS,3.597719196
1969,World,OWID_WRL,85.02,14.98,Bangladesh,BGD,22.54
1970,World,OWID_WRL,85.51,14.49,Australia,AUS,2.14
1970,World,OWID_WRL,85.51,14.49,Sri Lanka,LKA,7.11
1970,World,OWID_WRL,85.51,14.49,India,IND,21.33
1970,World,OWID_WRL,85.51,14.49,China,CHN,11.33
1970,World,OWID_WRL,85.51,14.49,Russia,RUS,4.42
1970,World,OWID_WRL,85.51,14.49,Pakistan,PAK,18.88
1970,World,OWID_WRL,85.51,14.49,Bangladesh,BGD,22.41
1970,World,OWID_WRL,85.51,14.49,Afghanistan,AFG,30.9
1971,World,OWID_WRL,85.86,14.14,India,IND,20.99
1971,World,OWID_WRL,85.86,14.14,Russia,RUS,4.24
1971,World,OWID_WRL,85.86,14.14,Australia,AUS,2.09
1971,World,OWID_WRL,85.86,14.14,Pakistan,PAK,18.47
1971,World,OWID_WRL,85.86,14.14,Sri Lanka,LKA,6.97
1971,World,OWID_WRL,85.86,14.14,Bangladesh,BGD,22.3
1971,World,OWID_WRL,85.86,14.14,China,CHN,10.77
1971,World,OWID_WRL,85.86,14.14,Afghanistan,AFG,30.41
1972,World,OWID_WRL,86.17,13.83,Russia,RUS,4.07
1972,World,OWID_WRL,86.17,13.83,Pakistan,PAK,18.1
1972,World,OWID_WRL,86.17,13.83,Sri Lanka,LKA,6.85
1972,World,OWID_WRL,86.17,13.83,India,IND,20.61
1972,World,OWID_WRL,86.17,13.83,Bangladesh,BGD,22.2
1972,World,OWID_WRL,86.17,13.83,Australia,AUS,2.02
1972,World,OWID_WRL,86.17,13.83,Afghanistan,AFG,29.9
1972,World,OWID_WRL,86.17,13.83,China,CHN,10.21
1973,World,OWID_WRL,86.49,13.51,Bangladesh,BGD,22.07
1973,World,OWID_WRL,86.49,13.51,India,IND,20.22
1973,World,OWID_WRL,86.49,13.51,Afghanistan,AFG,29.4
1973,World,OWID_WRL,86.49,13.51,Russia,RUS,3.92
1973,World,OWID_WRL,86.49,13.51,Pakistan,PAK,17.77
1973,World,OWID_WRL,86.49,13.51,China,CHN,9.65
